"record_id","dataset_id","parent_event_id","eventid","sector_id","station_number","station_id","event_datetime","decimal_latitude","verbatim_longitude","decimal_longitude","geodetic_datum","measurement_id_ctd","ctd_cast","depth_m","benne_remplissage","sampling_effort_m2","material_sample_id_mo","material_sample_id_granulo","material_sample_id_biodiv","nbr_pots_biodiv","material_sample_id_pigments_1","material_sample_id_pigments_2","material_sample_id_pigments_3","replicats_pigments_1","replicats_pigments_2","replicats_pigments_3","unique_tube_pigments_1","unique_tube_pigments_2","unique_tube_pigments_3","material_sample_id_selenoneine","comments","terrain_complete"
1,," -2023"," -2023-baie-3","baie",3,"baie-3",,"48.35625","70.79332"," -70.79332",," -2023-baie-3-ctd",,,,"0.108"," -2023-baie-3-mo"," -2023-baie-3-granulo"," -2023-baie-3-biodiv",," -2023-baie-3-pigments-1"," -2023-baie-3-pigments-2"," -2023-baie-3-pigments-3",,,,,,,,,0
2,," -2023"," -2023-baie-7","baie",7,"baie-7",,"48.36616","70.75726"," -70.75726",," -2023-baie-7-ctd",,,,"0.108"," -2023-baie-7-mo"," -2023-baie-7-granulo"," -2023-baie-7-biodiv",," -2023-baie-7-pigments-1"," -2023-baie-7-pigments-2"," -2023-baie-7-pigments-3",,,,,,,,,0
3,," -2023"," -2023-baie-12","baie",12,"baie-12",,"48.36516","70.76196"," -70.76196",," -2023-baie-12-ctd",,,,"0.108"," -2023-baie-12-mo"," -2023-baie-12-granulo"," -2023-baie-12-biodiv",," -2023-baie-12-pigments-1"," -2023-baie-12-pigments-2"," -2023-baie-12-pigments-3",,,,,,,,,0
4,," -2023"," -2023-baie-13","baie",13,"baie-13",,"48.34561","70.78345"," -70.78345",," -2023-baie-13-ctd",,,,"0.108"," -2023-baie-13-mo"," -2023-baie-13-granulo"," -2023-baie-13-biodiv",," -2023-baie-13-pigments-1"," -2023-baie-13-pigments-2"," -2023-baie-13-pigments-3",,,,,,,,,0
5,," -2023"," -2023-baie-14","baie",14,"baie-14",,"48.36525","70.7728"," -70.7728",," -2023-baie-14-ctd",,,,"0.108"," -2023-baie-14-mo"," -2023-baie-14-granulo"," -2023-baie-14-biodiv",," -2023-baie-14-pigments-1"," -2023-baie-14-pigments-2"," -2023-baie-14-pigments-3",,,,,,,,,0
6,," -2023"," -2023-baie-17","baie",17,"baie-17",,"48.37115","70.77072"," -70.77072",," -2023-baie-17-ctd",,,,"0.108"," -2023-baie-17-mo"," -2023-baie-17-granulo"," -2023-baie-17-biodiv",," -2023-baie-17-pigments-1"," -2023-baie-17-pigments-2"," -2023-baie-17-pigments-3",,,,,,,,,0
7,"sag-endo","sag-endo-2023","sag-endo-2023-bassin_inferieur-3","bassin_inferieur",3,"bassin_inferieur-3","2023-07-05 06:56:52","48.14168","69.76231"," -69.76231","EPSG:4326","sag-endo-2023-bassin_inferieur-3-ctd",,64,0,"0.108","sag-endo-2023-bassin_inferieur-3-mo","sag-endo-2023-bassin_inferieur-3-granulo","sag-endo-2023-bassin_inferieur-3-biodiv",,"sag-endo-2023-bassin_inferieur-3-pigments-1","sag-endo-2023-bassin_inferieur-3-pigments-2","sag-endo-2023-bassin_inferieur-3-pigments-3",1,2,3,,,,,"Pas de sediments. Remontee de hydro et balances. Roches probablement. Essai 2 fois. Heure non exact. Pas de ctd.  ",0
8,," -2023"," -2023-bassin_inferieur-4","bassin_inferieur",4,"bassin_inferieur-4",,"48.13364","69.72315"," -69.72315",," -2023-bassin_inferieur-4-ctd",,,,"0.108"," -2023-bassin_inferieur-4-mo"," -2023-bassin_inferieur-4-granulo"," -2023-bassin_inferieur-4-biodiv",," -2023-bassin_inferieur-4-pigments-1"," -2023-bassin_inferieur-4-pigments-2"," -2023-bassin_inferieur-4-pigments-3",,,,,,,,,0
9,"sag-endo","sag-endo-2023","sag-endo-2023-bassin_inferieur-5","bassin_inferieur",5,"bassin_inferieur-5","2023-07-05 13:22:15","48.18412","69.87833"," -69.87833","EPSG:4326","sag-endo-2023-bassin_inferieur-5-ctd",,70,75,"0.108","sag-endo-2023-bassin_inferieur-5-mo","sag-endo-2023-bassin_inferieur-5-granulo","sag-endo-2023-bassin_inferieur-5-biodiv",,"sag-endo-2023-bassin_inferieur-5-pigments-1","sag-endo-2023-bassin_inferieur-5-pigments-2","sag-endo-2023-bassin_inferieur-5-pigments-3",1,2,3,4,5,6,,,0
10,," -2023"," -2023-bassin_inferieur-6","bassin_inferieur",6,"bassin_inferieur-6",,"48.14743","69.83767"," -69.83767",," -2023-bassin_inferieur-6-ctd",,,,"0.108"," -2023-bassin_inferieur-6-mo"," -2023-bassin_inferieur-6-granulo"," -2023-bassin_inferieur-6-biodiv",," -2023-bassin_inferieur-6-pigments-1"," -2023-bassin_inferieur-6-pigments-2"," -2023-bassin_inferieur-6-pigments-3",,,,,,,,,0
11,"sag-endo","sag-endo-2023","sag-endo-2023-bassin_inferieur-7","bassin_inferieur",7,"bassin_inferieur-7","2023-07-05 14:19:55","48.1688","69.86966"," -69.86966","EPSG:4326","sag-endo-2023-bassin_inferieur-7-ctd",,87,50,"0.108","sag-endo-2023-bassin_inferieur-7-mo","sag-endo-2023-bassin_inferieur-7-granulo","sag-endo-2023-bassin_inferieur-7-biodiv",,"sag-endo-2023-bassin_inferieur-7-pigments-1","sag-endo-2023-bassin_inferieur-7-pigments-2","sag-endo-2023-bassin_inferieur-7-pigments-3",1,2,3,7,8,9,,,0
12,," -2023"," -2023-bassin_inferieur-9","bassin_inferieur",9,"bassin_inferieur-9",,"48.20057","69.8732"," -69.8732",," -2023-bassin_inferieur-9-ctd",,,,"0.108"," -2023-bassin_inferieur-9-mo"," -2023-bassin_inferieur-9-granulo"," -2023-bassin_inferieur-9-biodiv",," -2023-bassin_inferieur-9-pigments-1"," -2023-bassin_inferieur-9-pigments-2"," -2023-bassin_inferieur-9-pigments-3",,,,,,,,,0
13,"sag-endo","sag-endo-2023","sag-endo-2023-bassin_inferieur-10","bassin_inferieur",10,"bassin_inferieur-10","2023-07-05 12:39:08","48.19806","69.87009"," -69.87009","EPSG:4326","sag-endo-2023-bassin_inferieur-10-ctd",,95,50,"0.108","sag-endo-2023-bassin_inferieur-10-mo","sag-endo-2023-bassin_inferieur-10-granulo","sag-endo-2023-bassin_inferieur-10-biodiv",,"sag-endo-2023-bassin_inferieur-10-pigments-1","sag-endo-2023-bassin_inferieur-10-pigments-2","sag-endo-2023-bassin_inferieur-10-pigments-3",1,2,3,1,2,3,"Na","Tumb up",0
14,," -2023"," -2023-bassin_inferieur-11","bassin_inferieur",11,"bassin_inferieur-11",,"48.15395","69.82812"," -69.82812",," -2023-bassin_inferieur-11-ctd",,,,"0.108"," -2023-bassin_inferieur-11-mo"," -2023-bassin_inferieur-11-granulo"," -2023-bassin_inferieur-11-biodiv",," -2023-bassin_inferieur-11-pigments-1"," -2023-bassin_inferieur-11-pigments-2"," -2023-bassin_inferieur-11-pigments-3",,,,,,,,,0
15,"sag-endo","sag-endo-2023","sag-endo-2023-bassin_inferieur-12","bassin_inferieur",12,"bassin_inferieur-12","2023-07-06 13:25:20","48.13460","69.77516"," -69.77516","EPSG:4326","sag-endo-2023-bassin_inferieur-12-ctd",,110,30,"0.108","sag-endo-2023-bassin_inferieur-12-mo","sag-endo-2023-bassin_inferieur-12-granulo","sag-endo-2023-bassin_inferieur-12-biodiv",,"sag-endo-2023-bassin_inferieur-12-pigments-1","sag-endo-2023-bassin_inferieur-12-pigments-2","sag-endo-2023-bassin_inferieur-12-pigments-3",1,2,3,13,14,15,,"Mm ctd que rov33",0
16,," -2023"," -2023-bassin_inferieur-14","bassin_inferieur",14,"bassin_inferieur-14",,"48.13309","69.74803"," -69.74803",," -2023-bassin_inferieur-14-ctd",,,,"0.108"," -2023-bassin_inferieur-14-mo"," -2023-bassin_inferieur-14-granulo"," -2023-bassin_inferieur-14-biodiv",," -2023-bassin_inferieur-14-pigments-1"," -2023-bassin_inferieur-14-pigments-2"," -2023-bassin_inferieur-14-pigments-3",,,,,,,,,0
17,"sag-endo","sag-endo-2023","sag-endo-2023-bassin_inferieur-15","bassin_inferieur",15,"bassin_inferieur-15","2023-07-06 16:18:30","48.17433","69.86819"," -69.86819","EPSG:4326","sag-endo-2023-bassin_inferieur-15-ctd",,75,20,"0.108","sag-endo-2023-bassin_inferieur-15-mo","sag-endo-2023-bassin_inferieur-15-granulo","sag-endo-2023-bassin_inferieur-15-biodiv",,"sag-endo-2023-bassin_inferieur-15-pigments-1","sag-endo-2023-bassin_inferieur-15-pigments-2","sag-endo-2023-bassin_inferieur-15-pigments-3",1,2,3,19,20,21,,"Grosse roches. 3 bennew. A voir ce qu9n fwit average.",0
18,," -2023"," -2023-bassin_inferieur-16","bassin_inferieur",16,"bassin_inferieur-16",,"48.19297","69.87685"," -69.87685",," -2023-bassin_inferieur-16-ctd",,,,"0.108"," -2023-bassin_inferieur-16-mo"," -2023-bassin_inferieur-16-granulo"," -2023-bassin_inferieur-16-biodiv",," -2023-bassin_inferieur-16-pigments-1"," -2023-bassin_inferieur-16-pigments-2"," -2023-bassin_inferieur-16-pigments-3",,,,,,,,,0
19,," -2023"," -2023-bassin_inferieur-19","bassin_inferieur",19,"bassin_inferieur-19",,"48.18585","69.88182"," -69.88182",," -2023-bassin_inferieur-19-ctd",,,,"0.108"," -2023-bassin_inferieur-19-mo"," -2023-bassin_inferieur-19-granulo"," -2023-bassin_inferieur-19-biodiv",," -2023-bassin_inferieur-19-pigments-1"," -2023-bassin_inferieur-19-pigments-2"," -2023-bassin_inferieur-19-pigments-3",,,,,,,,,0
20,"sag-endo","sag-endo-2023","sag-endo-2023-bassin_inferieur-20","bassin_inferieur",20,"bassin_inferieur-20","2023-07-06 15:17:25","48.15769","69.84922"," -69.84922","EPSG:4326","sag-endo-2023-bassin_inferieur-20-ctd",,139,10,"0.108","sag-endo-2023-bassin_inferieur-20-mo","sag-endo-2023-bassin_inferieur-20-granulo","sag-endo-2023-bassin_inferieur-20-biodiv",,"sag-endo-2023-bassin_inferieur-20-pigments-1","sag-endo-2023-bassin_inferieur-20-pigments-2","sag-endo-2023-bassin_inferieur-20-pigments-3",1,2,3,16,17,18,,"3e essaie",0
21,," -2023"," -2023-bassin_intermediaire-1","bassin_intermediaire",1,"bassin_intermediaire-1",,"48.2302","69.89433"," -69.89433",," -2023-bassin_intermediaire-1-ctd",,,,"0.108"," -2023-bassin_intermediaire-1-mo"," -2023-bassin_intermediaire-1-granulo"," -2023-bassin_intermediaire-1-biodiv",," -2023-bassin_intermediaire-1-pigments-1"," -2023-bassin_intermediaire-1-pigments-2"," -2023-bassin_intermediaire-1-pigments-3",,,,,,,,,0
22,," -2023"," -2023-bassin_intermediaire-2","bassin_intermediaire",2,"bassin_intermediaire-2",,"48.22254","69.9025"," -69.9025",," -2023-bassin_intermediaire-2-ctd",,,,"0.108"," -2023-bassin_intermediaire-2-mo"," -2023-bassin_intermediaire-2-granulo"," -2023-bassin_intermediaire-2-biodiv",," -2023-bassin_intermediaire-2-pigments-1"," -2023-bassin_intermediaire-2-pigments-2"," -2023-bassin_intermediaire-2-pigments-3",,,,,,,,,0
23,," -2023"," -2023-bassin_intermediaire-4","bassin_intermediaire",4,"bassin_intermediaire-4",,"48.2369","69.97602"," -69.97602",," -2023-bassin_intermediaire-4-ctd",,,,"0.108"," -2023-bassin_intermediaire-4-mo"," -2023-bassin_intermediaire-4-granulo"," -2023-bassin_intermediaire-4-biodiv",," -2023-bassin_intermediaire-4-pigments-1"," -2023-bassin_intermediaire-4-pigments-2"," -2023-bassin_intermediaire-4-pigments-3",,,,,,,,,0
24,"sag-endo","sag-endo-2023","sag-endo-2023-bassin_intermediaire-6","bassin_intermediaire",6,"bassin_intermediaire-6","2023-07-07 09:57:37","48.23761","69.96533"," -69.96533","EPSG:4326","sag-endo-2023-bassin_intermediaire-6-ctd",,154,95,"0.108","sag-endo-2023-bassin_intermediaire-6-mo","sag-endo-2023-bassin_intermediaire-6-granulo","sag-endo-2023-bassin_intermediaire-6-biodiv",,"sag-endo-2023-bassin_intermediaire-6-pigments-1","sag-endo-2023-bassin_intermediaire-6-pigments-2","sag-endo-2023-bassin_intermediaire-6-pigments-3",1,2,3,22,23,24,"Se037","Sable, echelle Beaufort 4",0
25,," -2023"," -2023-bassin_intermediaire-7","bassin_intermediaire",7,"bassin_intermediaire-7",,"48.23014","69.96585"," -69.96585",," -2023-bassin_intermediaire-7-ctd",,,,"0.108"," -2023-bassin_intermediaire-7-mo"," -2023-bassin_intermediaire-7-granulo"," -2023-bassin_intermediaire-7-biodiv",," -2023-bassin_intermediaire-7-pigments-1"," -2023-bassin_intermediaire-7-pigments-2"," -2023-bassin_intermediaire-7-pigments-3",,,,,,,,,0
26,"sag-endo","sag-endo-2023","sag-endo-2023-bassin_intermediaire-8","bassin_intermediaire",8,"bassin_intermediaire-8","2023-07-07 14:59:19","48.22860","69.93304"," -69.93304","EPSG:4326","sag-endo-2023-bassin_intermediaire-8-ctd",,144,100,"0.108","sag-endo-2023-bassin_intermediaire-8-mo","sag-endo-2023-bassin_intermediaire-8-granulo","sag-endo-2023-bassin_intermediaire-8-biodiv",,"sag-endo-2023-bassin_intermediaire-8-pigments-1","sag-endo-2023-bassin_intermediaire-8-pigments-2","sag-endo-2023-bassin_intermediaire-8-pigments-3",1,2,3,28,29,30,"Se033",,0
27,," -2023"," -2023-bassin_intermediaire-10","bassin_intermediaire",10,"bassin_intermediaire-10",,"48.23935","69.9578"," -69.9578",," -2023-bassin_intermediaire-10-ctd",,,,"0.108"," -2023-bassin_intermediaire-10-mo"," -2023-bassin_intermediaire-10-granulo"," -2023-bassin_intermediaire-10-biodiv",," -2023-bassin_intermediaire-10-pigments-1"," -2023-bassin_intermediaire-10-pigments-2"," -2023-bassin_intermediaire-10-pigments-3",,,,,,,,,0
28,," -2023"," -2023-bassin_intermediaire-13","bassin_intermediaire",13,"bassin_intermediaire-13",,"48.24032","69.98361"," -69.98361",," -2023-bassin_intermediaire-13-ctd",,,,"0.108"," -2023-bassin_intermediaire-13-mo"," -2023-bassin_intermediaire-13-granulo"," -2023-bassin_intermediaire-13-biodiv",," -2023-bassin_intermediaire-13-pigments-1"," -2023-bassin_intermediaire-13-pigments-2"," -2023-bassin_intermediaire-13-pigments-3",,,,,,,,,0
29,"sag-endo","sag-endo-2023","sag-endo-2023-bassin_intermediaire-14","bassin_intermediaire",14,"bassin_intermediaire-14","2023-07-12 09:15:47","48.24504","69.9874"," -69.9874","EPSG:4326","sag-endo-2023-bassin_intermediaire-14-ctd",,122,75,"0.108","sag-endo-2023-bassin_intermediaire-14-mo","sag-endo-2023-bassin_intermediaire-14-granulo","sag-endo-2023-bassin_intermediaire-14-biodiv",,"sag-endo-2023-bassin_intermediaire-14-pigments-1","sag-endo-2023-bassin_intermediaire-14-pigments-2","sag-endo-2023-bassin_intermediaire-14-pigments-3",1,2,3,31,32,33,,,0
30,"sag-endo","sag-endo-2023","sag-endo-2023-bassin_intermediaire-15","bassin_intermediaire",15,"bassin_intermediaire-15","2023-07-07 11:25:39","48.23434","69.90823"," -69.90823","EPSG:4326","sag-endo-2023-bassin_intermediaire-15-ctd",,113,90,"0.108","sag-endo-2023-bassin_intermediaire-15-mo","sag-endo-2023-bassin_intermediaire-15-granulo","sag-endo-2023-bassin_intermediaire-15-biodiv",,"sag-endo-2023-bassin_intermediaire-15-pigments-1","sag-endo-2023-bassin_intermediaire-15-pigments-2","sag-endo-2023-bassin_intermediaire-15-pigments-3",1,2,3,25,26,27,"Se38",,0
31,," -2023"," -2023-centre-3","centre",3,"centre-3",,"48.35964","70.42178"," -70.42178",," -2023-centre-3-ctd",,,,"0.108"," -2023-centre-3-mo"," -2023-centre-3-granulo"," -2023-centre-3-biodiv",," -2023-centre-3-pigments-1"," -2023-centre-3-pigments-2"," -2023-centre-3-pigments-3",,,,,,,,,0
32,," -2023"," -2023-centre-10","centre",10,"centre-10",,"48.36274","70.48717"," -70.48717",," -2023-centre-10-ctd",,,,"0.108"," -2023-centre-10-mo"," -2023-centre-10-granulo"," -2023-centre-10-biodiv",," -2023-centre-10-pigments-1"," -2023-centre-10-pigments-2"," -2023-centre-10-pigments-3",,,,,,,,,0
33,," -2023"," -2023-centre-11","centre",11,"centre-11",,"48.23921","70.01161"," -70.01161",," -2023-centre-11-ctd",,,,"0.108"," -2023-centre-11-mo"," -2023-centre-11-granulo"," -2023-centre-11-biodiv",," -2023-centre-11-pigments-1"," -2023-centre-11-pigments-2"," -2023-centre-11-pigments-3",,,,,,,,,0
34,"sag-endo","sag-endo-2023","sag-endo-2023-centre-12","centre",12,"centre-12","2023-07-12 10:01:14","48.25599","70.00761"," -70.00761","EPSG:4326","sag-endo-2023-centre-12-ctd",,170,75,"0.108","sag-endo-2023-centre-12-mo","sag-endo-2023-centre-12-granulo","sag-endo-2023-centre-12-biodiv",,"sag-endo-2023-centre-12-pigments-1","sag-endo-2023-centre-12-pigments-2","sag-endo-2023-centre-12-pigments-3",1,2,3,34,35,36,,"Argile sous sable",0
35,," -2023"," -2023-centre-16","centre",16,"centre-16",,"48.37756","70.65916"," -70.65916",," -2023-centre-16-ctd",,,,"0.108"," -2023-centre-16-mo"," -2023-centre-16-granulo"," -2023-centre-16-biodiv",," -2023-centre-16-pigments-1"," -2023-centre-16-pigments-2"," -2023-centre-16-pigments-3",,,,,,,,,0
36,," -2023"," -2023-centre-17","centre",17,"centre-17",,"48.36603","70.51352"," -70.51352",," -2023-centre-17-ctd",,,,"0.108"," -2023-centre-17-mo"," -2023-centre-17-granulo"," -2023-centre-17-biodiv",," -2023-centre-17-pigments-1"," -2023-centre-17-pigments-2"," -2023-centre-17-pigments-3",,,,,,,,,0
37,," -2023"," -2023-centre-18","centre",18,"centre-18",,"48.37132","70.51295"," -70.51295",," -2023-centre-18-ctd",,,,"0.108"," -2023-centre-18-mo"," -2023-centre-18-granulo"," -2023-centre-18-biodiv",," -2023-centre-18-pigments-1"," -2023-centre-18-pigments-2"," -2023-centre-18-pigments-3",,,,,,,,,0
38,," -2023"," -2023-centre-22","centre",22,"centre-22",,"48.36103","70.45494"," -70.45494",," -2023-centre-22-ctd",,,,"0.108"," -2023-centre-22-mo"," -2023-centre-22-granulo"," -2023-centre-22-biodiv",," -2023-centre-22-pigments-1"," -2023-centre-22-pigments-2"," -2023-centre-22-pigments-3",,,,,,,,,0
39,," -2023"," -2023-centre-24","centre",24,"centre-24",,"48.37158","70.55625"," -70.55625",," -2023-centre-24-ctd",,,,"0.108"," -2023-centre-24-mo"," -2023-centre-24-granulo"," -2023-centre-24-biodiv",," -2023-centre-24-pigments-1"," -2023-centre-24-pigments-2"," -2023-centre-24-pigments-3",,,,,,,,,0
40,," -2023"," -2023-centre-26","centre",26,"centre-26",,"48.34996","70.53696"," -70.53696",," -2023-centre-26-ctd",,,,"0.108"," -2023-centre-26-mo"," -2023-centre-26-granulo"," -2023-centre-26-biodiv",," -2023-centre-26-pigments-1"," -2023-centre-26-pigments-2"," -2023-centre-26-pigments-3",,,,,,,,,0
41,," -2023"," -2023-centre-29","centre",29,"centre-29",,"48.3682","70.55969"," -70.55969",," -2023-centre-29-ctd",,,,"0.108"," -2023-centre-29-mo"," -2023-centre-29-granulo"," -2023-centre-29-biodiv",," -2023-centre-29-pigments-1"," -2023-centre-29-pigments-2"," -2023-centre-29-pigments-3",,,,,,,,,0
42,," -2023"," -2023-centre-35","centre",35,"centre-35",,"48.36226","70.61945"," -70.61945",," -2023-centre-35-ctd",,,,"0.108"," -2023-centre-35-mo"," -2023-centre-35-granulo"," -2023-centre-35-biodiv",," -2023-centre-35-pigments-1"," -2023-centre-35-pigments-2"," -2023-centre-35-pigments-3",,,,,,,,,0
43,," -2023"," -2023-centre-38","centre",38,"centre-38",,"48.37087","70.65121"," -70.65121",," -2023-centre-38-ctd",,,,"0.108"," -2023-centre-38-mo"," -2023-centre-38-granulo"," -2023-centre-38-biodiv",," -2023-centre-38-pigments-1"," -2023-centre-38-pigments-2"," -2023-centre-38-pigments-3",,,,,,,,,0
44,," -2023"," -2023-centre-41","centre",41,"centre-41",,"48.36591","70.57379"," -70.57379",," -2023-centre-41-ctd",,,,"0.108"," -2023-centre-41-mo"," -2023-centre-41-granulo"," -2023-centre-41-biodiv",," -2023-centre-41-pigments-1"," -2023-centre-41-pigments-2"," -2023-centre-41-pigments-3",,,,,,,,,0
45,," -2023"," -2023-centre-49","centre",49,"centre-49",,"48.25553","70.00118"," -70.00118",," -2023-centre-49-ctd",,,,"0.108"," -2023-centre-49-mo"," -2023-centre-49-granulo"," -2023-centre-49-biodiv",," -2023-centre-49-pigments-1"," -2023-centre-49-pigments-2"," -2023-centre-49-pigments-3",,,,,,,,,0
46,," -2023"," -2023-saint_fulgence-2","saint_fulgence",2,"saint_fulgence-2",,"48.42129","70.73866"," -70.73866",," -2023-saint_fulgence-2-ctd",,,,"0.108"," -2023-saint_fulgence-2-mo"," -2023-saint_fulgence-2-granulo"," -2023-saint_fulgence-2-biodiv",," -2023-saint_fulgence-2-pigments-1"," -2023-saint_fulgence-2-pigments-2"," -2023-saint_fulgence-2-pigments-3",,,,,,,,,0
47,," -2023"," -2023-saint_fulgence-4","saint_fulgence",4,"saint_fulgence-4",,"48.4123","70.83906"," -70.83906",," -2023-saint_fulgence-4-ctd",,,,"0.108"," -2023-saint_fulgence-4-mo"," -2023-saint_fulgence-4-granulo"," -2023-saint_fulgence-4-biodiv",," -2023-saint_fulgence-4-pigments-1"," -2023-saint_fulgence-4-pigments-2"," -2023-saint_fulgence-4-pigments-3",,,,,,,,,0
48,," -2023"," -2023-saint_fulgence-5","saint_fulgence",5,"saint_fulgence-5",,"48.43542","70.88424"," -70.88424",," -2023-saint_fulgence-5-ctd",,,,"0.108"," -2023-saint_fulgence-5-mo"," -2023-saint_fulgence-5-granulo"," -2023-saint_fulgence-5-biodiv",," -2023-saint_fulgence-5-pigments-1"," -2023-saint_fulgence-5-pigments-2"," -2023-saint_fulgence-5-pigments-3",,,,,,,,,0
49,," -2023"," -2023-saint_fulgence-6","saint_fulgence",6,"saint_fulgence-6",,"48.40345","70.8019"," -70.8019",," -2023-saint_fulgence-6-ctd",,,,"0.108"," -2023-saint_fulgence-6-mo"," -2023-saint_fulgence-6-granulo"," -2023-saint_fulgence-6-biodiv",," -2023-saint_fulgence-6-pigments-1"," -2023-saint_fulgence-6-pigments-2"," -2023-saint_fulgence-6-pigments-3",,,,,,,,,0
50,," -2023"," -2023-saint_fulgence-7","saint_fulgence",7,"saint_fulgence-7",,"48.40739","70.78222"," -70.78222",," -2023-saint_fulgence-7-ctd",,,,"0.108"," -2023-saint_fulgence-7-mo"," -2023-saint_fulgence-7-granulo"," -2023-saint_fulgence-7-biodiv",," -2023-saint_fulgence-7-pigments-1"," -2023-saint_fulgence-7-pigments-2"," -2023-saint_fulgence-7-pigments-3",,,,,,,,,0
51,," -2023"," -2023-saint_fulgence-8","saint_fulgence",8,"saint_fulgence-8",,"48.43721","70.88532"," -70.88532",," -2023-saint_fulgence-8-ctd",,,,"0.108"," -2023-saint_fulgence-8-mo"," -2023-saint_fulgence-8-granulo"," -2023-saint_fulgence-8-biodiv",," -2023-saint_fulgence-8-pigments-1"," -2023-saint_fulgence-8-pigments-2"," -2023-saint_fulgence-8-pigments-3",,,,,,,,,0
52,," -2023"," -2023-saint_fulgence-9","saint_fulgence",9,"saint_fulgence-9",,"48.40931","70.8011"," -70.8011",," -2023-saint_fulgence-9-ctd",,,,"0.108"," -2023-saint_fulgence-9-mo"," -2023-saint_fulgence-9-granulo"," -2023-saint_fulgence-9-biodiv",," -2023-saint_fulgence-9-pigments-1"," -2023-saint_fulgence-9-pigments-2"," -2023-saint_fulgence-9-pigments-3",,,,,,,,,0
53,," -2023"," -2023-saint_fulgence-12","saint_fulgence",12,"saint_fulgence-12",,"48.42836","70.78585"," -70.78585",," -2023-saint_fulgence-12-ctd",,,,"0.108"," -2023-saint_fulgence-12-mo"," -2023-saint_fulgence-12-granulo"," -2023-saint_fulgence-12-biodiv",," -2023-saint_fulgence-12-pigments-1"," -2023-saint_fulgence-12-pigments-2"," -2023-saint_fulgence-12-pigments-3",,,,,,,,,0
54,," -2023"," -2023-saint_fulgence-15","saint_fulgence",15,"saint_fulgence-15",,"48.44539","70.90943"," -70.90943",," -2023-saint_fulgence-15-ctd",,,,"0.108"," -2023-saint_fulgence-15-mo"," -2023-saint_fulgence-15-granulo"," -2023-saint_fulgence-15-biodiv",," -2023-saint_fulgence-15-pigments-1"," -2023-saint_fulgence-15-pigments-2"," -2023-saint_fulgence-15-pigments-3",,,,,,,,,0
55,," -2023"," -2023-saint_fulgence-17","saint_fulgence",17,"saint_fulgence-17",,"48.42307","70.7824"," -70.7824",," -2023-saint_fulgence-17-ctd",,,,"0.108"," -2023-saint_fulgence-17-mo"," -2023-saint_fulgence-17-granulo"," -2023-saint_fulgence-17-biodiv",," -2023-saint_fulgence-17-pigments-1"," -2023-saint_fulgence-17-pigments-2"," -2023-saint_fulgence-17-pigments-3",,,,,,,,,0
56,," -2023"," -2023-saint_fulgence-18","saint_fulgence",18,"saint_fulgence-18",,"48.43186","70.89963"," -70.89963",," -2023-saint_fulgence-18-ctd",,,,"0.108"," -2023-saint_fulgence-18-mo"," -2023-saint_fulgence-18-granulo"," -2023-saint_fulgence-18-biodiv",," -2023-saint_fulgence-18-pigments-1"," -2023-saint_fulgence-18-pigments-2"," -2023-saint_fulgence-18-pigments-3",,,,,,,,,0
57,"sag-endo","sag-endo-2023","sag-endo-2023-bassin_inferieur-18","bassin_inferieur",18,"bassin_inferieur-18","2023-07-05 16:02:39","48.15244","69.79005"," -69.79005","EPSG:4326","sag-endo-2023-bassin_inferieur-18-ctd",,86,40,"0.108","sag-endo-2023-bassin_inferieur-18-mo","sag-endo-2023-bassin_inferieur-18-granulo","sag-endo-2023-bassin_inferieur-18-biodiv",,"sag-endo-2023-bassin_inferieur-18-pigments-1","sag-endo-2023-bassin_inferieur-18-pigments-2","sag-endo-2023-bassin_inferieur-18-pigments-3",1,2,3,10,11,12,,"2e Station 18 2023",0
58,"sag-endo","sag-endo-2023","sag-endo-2023-centre-8","centre",8,"centre-8","2023-07-12 10:42:22","48.25735","70.02968"," -70.02968","EPSG:4326","sag-endo-2023-centre-8-ctd",,165,75,"0.108","sag-endo-2023-centre-8-mo","sag-endo-2023-centre-8-granulo","sag-endo-2023-centre-8-biodiv",,"sag-endo-2023-centre-8-pigments-1","sag-endo-2023-centre-8-pigments-2","sag-endo-2023-centre-8-pigments-3",1,2,3,37,38,39,,"Trop vers ",0
